번호,지역,도서관명,주소,운영상태,홈페이지
398,서울,서울 강남도곡정보문화도서관,서울특별시 강남구 도곡로 18길 57 ,시행중 ,http:library.gangnam.go.kr 
397,서울,서울 자양3동새마을작은도서관,서울특별시 광진구 뚝섬로 568(자양동) ,시행중 ,http://smalllib.gwangjin.go.kr 
396,서울,서울 동대문구배봉산숲속도서관,서울특별시 동대문구 전농로16길 97 ,시행중 ,https://www.l4d.or.kr 
395,서울,서울 중랑구상봉도서관,서울특별시 중랑구 동일로114길 10 ,시행중 ,http:www.jungnanglib.seoul.krsblib 
394,서울,서울 용산구별밭작은도서관,서울특별시 용산구 대사관로34길 49 4층 ,시행중 ,http://lib.yongsan.go.kr/ 
393,서울,서울 교육청고덕평생학습관,서울특별시 강동구 고덕로 295 ,시행중 ,http:gdllc.sen.go.kr 
392,서울,서울 도봉구청행복작은도서관,서울특별시 도봉구 마들로 656 ,시행중 ,http:www.unilib.dobong.kr 
391,서울,서울 강남열린도서관,서울특별시 강남구 학동로 343 포바강남타워 B2(논현동) ,시행중 ,http://library.gangnam.go.kr 
390,서울,서울 강남역삼2동작은도서관,서울특별시 강남구 언주로 314 강남프라자 2층 ,시행중 ,http://library.gangnam.go.kr 
389,서울,서울 강남세곡도서관,"서울특별시 강남구 밤고개로 286, 2층  ",시행중 ,http://library.gangnam.go.kr 
388,서울,서울 강남삼성도서관,"서울특별시 강남구 봉은사로616, 4층(삼성동) ",시행중 ,http://library.gangnam.go.kr 
387,서울,서울 강남대치1작은도서관,"서울특별시 강남구 남부순환로 391길 19,(대치동) 대치1문화센터 지하1층 ",시행중 ,http://library.gangnam.go.kr 
386,서울,서울 강남논현정보도서관,"서울특별시 강남구 학동로 169, 3층 (논현동) ",시행중 ,http://library.gangnam.go.kr 
385,서울,서울 강남못골도서관,서울특별시 강남구 자곡로 116 ,시행중 ,http:library.gangnam.go.kr 
384,서울,서울 강남못골한옥어린이도서관,서울특별시 강남구 자곡로 7길 3 ,시행중 ,http://library.gangnam.go.kr 
383,서울,서울 강남행복한도서관,서울특별시 강남구 영동대로 65길 24 ,시행중 ,http://library.gangnam.go.kr 
382,서울,서울 강남청담도서관,서울특별시 강남구 압구정로 79길 26 청담동주민센터 7층 ,시행중 ,http://library.gangnam.go.kr 
381,서울,서울 강남즐거운도서관,"서울특별시 강남구 도곡로77길23, 4층 ",시행중 ,http://library.gangnam.go.kr 
380,서울,서울 강남정다운도서관,서울특별시 강남구 학동로67길 11 청담평생학습관 3층 ,시행중 ,http:library.gangnam.go.kr 
379,서울,서울 강남역삼푸른솔도서관,"서울특별시 강남구 테헤란로 8길 36,4층 역삼동 ",시행중 ,http://library.gangnam.go.kr 
378,서울,서울 강남역삼도서관,"서울특별시 강남구 역삼로7길 16, 5층 역삼도서관 ",시행중 ,http://library.gangnam.go.kr 
377,서울,서울 강남대치도서관,서울특별시 강남구 삼성로 212 은마복지상가 2층 215호 ,시행중 ,http://library.gangnam.go.kr 
376,서울,서울 강남논현도서관,서울특별시 강남구 학동로 43길 17 6층 ,시행중 ,http://library.gangnam.go.kr 
375,서울,서울 영등포구구민회관작은도서관,서울특별시 영등포구 국회대로 596 ,시행중 ,http://little.dllib.or.kr 
374,서울,서울 영등포구영등포동작은도서관,"서울특별시 영등포구 국회대로44길 4, 1층 ",시행중 ,https://www.ydplib.or.kr/small/index.do 
373,서울,서울 영등포구신길6동작은도서관,"서울특별시 영등포구 대방천로 193, 지하1층 ",시행중 ,https://www.ydplib.or.kr/small/index.do 
372,서울,서울 영등포구신길2동청소년문화의집작은도서관,서울특별시 영등포구 영등포로64길 15 ,시행중 ,https://www.ydplib.or.kr/small/index.do 
371,서울,서울 영등포구도림동작은도서관,"서울특별시 영등포구 도신로33길 4, 1층 ",시행중 ,http://little.dllib.or.kr 
370,서울,서울 교육청영등포평생학습관,서울특별시 영등포구 버드나루로 15길 10 ,시행중 ,http:ydplic.sen.go.kr 
369,서울,서울 교육청마포평생학습관아현분관,서울특별시 마포구 마포대로 224 ,시행중 ,http:ahyon.sen.go.kr 
368,서울,서울 교육청마포평생학습관,서울특별시 마포구 홍익로2길 16  ,시행중 ,http:mpllc.sen.go.kr 
367,서울,서울 교육청노원평생학습관,서울특별시 노원구 동일로 204길 13 ,시행중 ,http:nwllc.sen.go.kr 
366,서울,서울 교육청종로도서관,서울특별시 종로구 사직로9길 15-14 ,시행중 ,http:jnlib.sen.go.kr 
365,서울,서울 교육청정독도서관,서울특별시 종로구 북촌로5길 48 ,시행중 ,http:jdlib.sen.go.kr 
364,서울,서울 교육청용산도서관,서울특별시 용산구 두텁바위로 160 ,시행중 ,http:yslib.sen.go.kr 
363,서울,서울 교육청어린이도서관,서울특별시 종로구 사직동9길 7 ,시행중 ,http:chlib.sen.go.kr 
362,서울,서울 교육청양천도서관,서울특별시 양천구 목동서로 113 ,시행중 ,http:yclib.sen.go.kr 
361,서울,서울 교육청서대문도서관,서울특별시 서대문구 모래내로 412 ,시행중 ,http:sdmlib.sen.go.kr 
360,서울,서울 교육청동작도서관,서울특별시 동작구 장승배기로 94  ,시행중 ,http:djlib.sen.go.kr 
359,서울,서울 교육청동대문도서관,서울특별시 동대문구 천호대로 4길 22 ,시행중 ,http:ddmlib.sen.go.kr 
358,서울,서울 교육청도봉도서관,서울특별시 도봉구 삼양로 556 ,시행중 ,http:dobong.sen.go.kr 
357,서울,서울 교육청남산도서관,서울특별시 용산구 소월로 109  ,시행중 ,http:nslib.sen.go.kr 
356,서울,서울 교육청구로도서관,서울특별시 구로구 공원로 15 ,시행중 ,http://grlib.sen.go.kr 
355,서울,서울 교육청고척도서관,서울특별시 구로구 고척로45길 31 ,시행중 ,http:gclib.sen.go.kr 
354,서울,서울 교육청개포도서관,서울특별시 강남구 선릉로4길 30 ,시행중 ,http:gplib.sen.go.kr 
353,서울,서울 교육청강서도서관,"서울특별시 강서구 등촌로51나길 29 (등촌동, 강서도서관) ",시행중 ,http:gslib.sen.go.kr 
352,서울,서울 교육청강동도서관,서울특별시 강동구 양재대로116길 57 ,시행중 ,http:gdlib.sen.go.kr 
351,서울,서울 교육청강남도서관,서울특별시 강남구 선릉로 116길45 ,시행중 ,http:gnlib.sen.go.kr 
350,서울,서울 구로구우신고등학교도서관,서울특별시 구로구 부일로 917 별관2층 ,시행중 ,http://lib.guro.go.kr/ 
349,서울,서울 구로구고척교회도서관책마을,서울특별시 구로구 중앙로79 고척교회 ,시행중 ,http://lib.guro.go.kr/ 
348,서울,서울 교육청송파도서관,서울특별시 송파구 동남로 263 ,시행중 ,http:splib.sen.go.kr 
347,서울,서울 구로구구로구청행정자료실,서울특별시 구로구 가마산로245 본관6층 ,시행중 ,http://lib.guro.go.kr/ 
346,서울,서울 구로구신도림고등학교도서관,서울특별시 구로구 경인로67길 159 ,시행중 ,http://lib.guro.go.kr/ 
345,서울,서울 구로구옹달샘작은도서관,서울특별시 구로구 천왕로56 천왕이펜하우스 3단지 307동 ,시행중 ,http://lib.guro.go.kr/ 
344,서울,서울 구로구광진도서실,"서울특별시 구로구 개봉로3길 100-10, 광진교회 ",시행중 ,http://lib.guro.go.kr/ 
343,서울,서울 구로구수궁동새마을작은도서관,서울특별시 구로구 오리로15길 32 ,시행중 ,http://lib.guro.go.kr/ 
342,서울,서울 구로구오류2동새마을작은도서관,서울특별시 구로구 오리로10길 44-5 ,시행중 ,http://lib.guro.go.kr/ 
341,서울,서울 구로구오류1동새마을작은도서관,서울특별시 구로구 경인로 27길 10 ,시행중 ,http://lib.guro.go.kr/ 
340,서울,서울 구로구개봉3동새마을작은도서관,서울특별시 구로구 개봉로3길 47-5 ,시행중 ,http://lib.guro.go.kr/ 
339,서울,서울 구로구개봉2동새마을작은도서관,서울특별시 구로구 개봉로16가길 17 ,시행중 ,http://lib.guro.go.kr/ 
338,서울,서울 구로구고척2동새마을작은도서관,서울특별시 구로구 중앙로15길 22 ,시행중 ,http://lib.guro.go.kr/ 
337,서울,서울 구로구가리봉동새마을작은도서관,"서울특별시 구로구 디지털로19길 22,다붓다붓 마을활력소 ",시행중 ,http://lib.guro.go.kr/ 
336,서울,서울 구로구구로4동새마을작은도서관,서울특별시 구로구 구로동로28길 94 ,시행중 ,http://lib.guro.go.kr/ 
335,서울,서울 구로구구로2동새마을작은도서관,서울특별시 구로구 구로동로50길 10 ,시행중 ,http://lib.guro.go.kr/ 
334,서울,서울 구로구구로1동새마을작은도서관,서울특별시 구로구 구일로4길 57 ,시행중 ,http://lib.guro.go.kr/ 
333,서울,서울 구로구신도림동새마을작은도서관,서울특별시 구로구 신도림로 40 ,시행중 ,http://lib.guro.go.kr/ 
332,서울,서울 구로구신도림어린이영어작은도서관,서울특별시 구로구 신도림로 40 ,시행중 ,http://lib.guro.go.kr/ 
331,서울,서울 구로구궁동어린이도서관,서울특별시 구로구 구로구 오리로 1352 ,시행중 ,http://lib.guro.go.kr/ 
330,서울,서울 구로구글마루한옥어린이도서관,서울특별시 구로구 고척로27바길 7 ,시행중 ,http://lib.guro.go.kr/ 
329,서울,서울 구로구개봉도서관,서울특별시 구로구 개봉로16길 30-11 ,시행중 ,http://lib.guro.go.kr/ 
328,서울,서울 구로구하늘도서관,서울특별시 구로구 구로동로13길 68 ,시행중 ,http://lib.guro.go.kr/ 
327,서울,서울 구로구립온누리도서관,서울특별시 구로구 구로중앙로27나길 9 ,시행중 ,http:lib.guro.go.kr 
326,서울,서울 중랑구 망우본동 작은도서관,서울특별시 중랑구 망우동 340-17 ,시행중 ,"http://smlib.jungnanglib,seoul.kr "
325,서울,서울 중랑구 묵2동 작은도서관,서울특별시 중랑구 묵2동 243-1 ,시행중 ,"http://smlib.jungnanglib,seoul.kr "
